rep,n_trajectories,parameter_dim,events_per_trajectory,endpoints_per_trajectory,n_operator_rows,design_build_runtime_seconds,exact_runtime_seconds,approximate_runtime_seconds,exact_peak_python_bytes,approximate_peak_python_bytes,input_matrix_bytes,target_discrepancy,status_agreement,config_sha256,exact_weight_strategy,approximate_weight_strategy
1,2000,60,5,4,8000,0.009803417000512127,21.716035416000523,2.414960708003491,139280086,8928131,3904480,2.220446049250313e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,1,12,12000,0.0005101670030853711,6.36474279200047,0.45586670800548745,42708418,1895026,1056080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,5,12,12000,0.0023125420048017986,6.5639049999954295,0.45241533299849834,42706847,1895240,1056080,2.220446049250313e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,1000,10,20,12,12000,0.00909062499704305,6.546977958001662,0.45934691699949326,42709714,1894666,1056080,1.3322676295501878e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,5000,3,5,4,20000,0.0011884159976034425,4.885369625000749,0.20040824999887263,31538124,851257,640024,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,5000,10,5,4,20000,0.0038889999996172264,10.87674524999602,0.4640383749938337,71162974,1895483,1760080,4.440892098500626e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,5000,30,5,4,20000,0.013708583996049128,28.343502874995465,1.2538974580020295,181470865,4656572,4960240,1.887379141862766e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
1,5000,60,5,4,20000,0.02360016699822154,53.77926095799921,2.276953125001455,348207426,8929120,9760480,8.881784197001252e-16,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,250,3,5,4,1000,7.47500016586855e-05,0.22323687499738298,0.1906236249997164,1582608,851178,32024,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
2,1000,10,1,1,1000,5.595899710897356e-05,0.5211988329974702,0.4488095830020029,3564551,1895808,88080,1.1102230246251565e-15,1,ee9e76f4c5bcba279c893f17d4b92ce3a4ff062ee7e6c1c68fe7af76e8ef3e43,certificate_optimal,certificate_optimal
