rep,cell,variant,expected_status,expected_structural_status,expected_operational_status,predicted_status,structural_status,operational_status,certificate_scope,typed_contract_enforced,proof_verification_mandatory,ablated_component,true_target,point_estimate,interval_lower,interval_upper,runtime_seconds,config_sha256
1,shared_sparse,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.0016794233489081,0.8375153446989207,1.1658435019988955,0.021146416998817585,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,shared_sparse,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.0027335420018061996,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,shared_sparse,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,1.0016794233489081,0.8375153446989207,1.1658435019988955,0.02106854200246744,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,shared_sparse,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,0.9844490864459209,0.7644490864459209,1.204449086445921,1.345800410490483e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,shared_sparse,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,SET_ESTIMABLE,UNKNOWN,SET,assumption_conditional,True,True,,1.0,,0.7572597850821432,1.270817152693216,0.017194457999721635,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,shared_sparse,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,1.0016794233489081,0.8375153446989207,1.1658435019988955,0.021146416998817585,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9975697897488509,0.9028701258267878,1.0922694536709139,0.018252791996928863,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.0028832079988205805,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,0.9975697897488509,0.9028701258267878,1.0922694536709139,0.018224375002318993,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,1.0013641413415022,0.7813641413415022,1.2213641413415022,1.2500000593718141e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9975697897488509,0.9028701258267878,1.0922694536709139,0.01823408299969742,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,supported_strong,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9975697897488509,0.9028701258267878,1.0922694536709139,0.018252791996928863,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9659836952553482,0.8680470732066725,1.063920317304024,0.018938042005174793,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,no_support_certifier,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,finite_sample_only,True,True,support_certifier,1.0,,,,0.0025935410012607463,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,no_target_null_check,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,target_null_check,1.0,0.9659836952553482,0.8680470732066725,1.063920317304024,0.018831540997780394,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,force_point,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,,,,False,False,,1.0,7.062299595770693e-21,-0.22,0.22,1.245799649041146e-05,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,no_mark_sharing,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9659836952553482,0.8680470732066725,1.063920317304024,0.018856125003367197,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_small,fixed_tolerance,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,INCONCLUSIVE,,,,False,False,,1.0,,,,0.018938042005174793,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
1,scale_large,full_crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,assumption_conditional,True,True,,1.0,0.9965923613969543,0.8948786448368906,1.098306077957018,0.01802904200303601,3dfe727d99a519d665355868fd057621d4ecca7562fdcb1f248c9e0bdeb64543
