rep,regime,method,expected_status,expected_structural_status,expected_operational_status,predicted_status,true_target,point_estimate,interval_lower,interval_upper,false_point,abstained,failed,runtime_seconds,weight_strategy,config_sha256
3,strong_support_full_rank,tsvd,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.000936754779017,0.9891010969421161,1.0127724126159177,0,0,0,2.9582995921373367e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,gap_estimated_design,crome,SET_ESTIMABLE,UNKNOWN,SET,SET_ESTIMABLE,1.0,,0.8483980483083748,1.1440434491559077,0,0,0,0.03712337499746354,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,gap_estimated_design,naive_boundary,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,1.0010250493547737,0.6991926238202246,1.3028574748893227,1,0,0,6.98750009178184e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,gap_estimated_design,ridge,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,0.9962207487321423,0.9255097523709599,1.0669317450933247,1,0,0,2.812500315485522e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,gap_estimated_design,tsvd,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,0.9962207487321413,0.9255097523709589,1.0669317450933238,1,0,0,3.4040996979456395e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,structural_target_null,crome,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,1.0,,,,0,0,0,0.005140749999554828,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,structural_target_null,naive_boundary,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,1.002797030400701,0.7011973411005913,1.3043967197008106,1,0,0,3.204200038453564e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,structural_target_null,ridge,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7001926632658592,0.694495268749656,0.7058900577820624,1,0,0,1.933299790835008e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,structural_target_null,tsvd,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7001926632658592,0.694495268749656,0.7058900577820624,1,0,0,2.6292000256944448e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,sparse_near_zero,crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,1.0,,,,0,1,0,0.004582749999826774,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,sparse_near_zero,naive_boundary,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,1.010405150365637,0.8081648691631389,1.2126454315681352,1,0,0,2.8542002837639302e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,sparse_near_zero,ridge,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9997408151545883,0.9868223606812379,1.0126592696279388,1,0,0,1.704099850030616e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
3,sparse_near_zero,tsvd,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9997408151545897,0.9868223606812392,1.0126592696279402,1,0,0,2.462499833200127e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,strong_support_full_rank,crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0001851636848622,0.986732791245627,1.0136375361240975,0,0,0,0.03654341700166697,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,strong_support_full_rank,naive_boundary,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.000187528111484,0.9817344009666282,1.0186406552563398,0,0,0,5.479199899127707e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,strong_support_full_rank,ridge,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0001851636848629,0.9882226536193081,1.0121476737504178,0,0,0,2.1041996660642326e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,strong_support_full_rank,tsvd,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0001851636848627,0.9882226536193078,1.0121476737504176,0,0,0,2.9416994948405772e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,gap_estimated_design,crome,SET_ESTIMABLE,UNKNOWN,SET,SET_ESTIMABLE,1.0,,0.848475216629663,1.155669319109878,0,0,0,0.03734149999945657,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,gap_estimated_design,naive_boundary,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,0.9972627996495985,0.695436642650231,1.299088956648966,1,0,0,6.704100087517872e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,gap_estimated_design,ridge,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,1.0020722678697702,0.9307879702887776,1.0733565654507629,1,0,0,2.6583998987916857e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,gap_estimated_design,tsvd,SET_ESTIMABLE,UNKNOWN,SET,POINT_ESTIMABLE,1.0,1.0020722678697702,0.9307879702887776,1.0733565654507629,1,0,0,3.645799733931199e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,structural_target_null,crome,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,NONRECOVERABLE,1.0,,,,0,0,0,0.004963249994034413,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,structural_target_null,naive_boundary,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9987328738027571,0.7963927437409749,1.2010730038645394,1,0,0,3.137500607408583e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,structural_target_null,ridge,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7001622622601217,0.6939349304215251,0.7063895940987183,1,0,0,1.7625003238208592e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,structural_target_null,tsvd,NONRECOVERABLE,NONIDENTIFIED,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.7001622622601225,0.6939349304215259,0.706389594098719,1,0,0,2.4500004656147212e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,sparse_near_zero,crome,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,INCONCLUSIVE,1.0,,,,0,1,0,0.0047824159992160276,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,sparse_near_zero,naive_boundary,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,0.9955765227643263,0.7933900415207173,1.1977630040079352,1,0,0,3.895899862982333e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,sparse_near_zero,ridge,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,1.0001854119930103,0.9871203924092815,1.013250431576739,1,0,0,1.354100095340982e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
4,sparse_near_zero,tsvd,INCONCLUSIVE,UNKNOWN,INCONCLUSIVE,POINT_ESTIMABLE,1.0,1.000214221718354,0.9871488273179925,1.0132796161187156,1,0,0,3.087499499088153e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
5,strong_support_full_rank,crome,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,0.9992682185046442,0.9863308463191723,1.012205590690116,0,0,0,0.03698795799573418,certificate_optimal,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
5,strong_support_full_rank,naive_boundary,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,1.0006060305325961,0.9388207828688817,1.0623912781963105,0,0,0,6.879199645482004e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
5,strong_support_full_rank,ridge,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,0.9992682185046452,0.9878309683355344,1.010705468673756,0,0,0,2.7249996492173523e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
5,strong_support_full_rank,tsvd,POINT_ESTIMABLE,UNKNOWN,POINT_AT_TAU,POINT_ESTIMABLE,1.0,0.9992682185046438,0.987830968335533,1.0107054686737547,0,0,0,3.333300264785066e-05,,b884d254c7264a2e6d60a30191088fdaf4c31ec67d3fe522e10de3936d90258a
